,cate_id
915,23798
916,23796
917,23784
918,23782
919,23766
920,23772
921,23760
922,23774
923,4613
924,23764
925,23768
926,23776
927,23770
928,27208
929,4614
930,23762
931,23758
932,27240
933,27230
934,27220
935,27222
936,27238
937,27224
938,27226
939,27232
940,27228
941,27234
942,27236
943,27212
944,27210
945,27214
946,23724
947,23722
948,23720
949,23094
950,23088
951,23092
952,23104
953,23108
954,27244
955,23102
956,27248
957,27242
958,23090
959,27246
960,27250
961,23098
962,27254
963,23086
964,27252
965,23106
966,23100
967,23084
968,23112
969,23110
970,2488
971,2020
972,23244
973,2016
974,23240
975,23242
976,23246
977,23236
978,2019
979,2018
980,2017
981,23232
982,23238
983,23230
984,23234
985,23346
986,23392
987,23352
988,6724
989,23402
990,6723
991,8314
992,23394
993,23374
994,23350
995,23348
996,23354
997,8315
998,23356
999,23358
1000,23362
1001,23360
1002,8325
1003,23364
1004,23366
1005,23368
1006,23370
1007,27112
1008,23372
1009,23380
1010,23376
1011,23382
1012,23386
1013,23384
1014,23378
1015,27114
1016,23390
1017,23388
1018,23396
1019,23398
1020,23400
1021,2014
1022,6963
1023,3991
1024,23304
1025,3990
1026,3989
1027,23322
1028,8321
1029,3177
1030,3180
1031,3178
1032,3179
1033,23286
1034,23288
1035,23290
1036,1936
1037,4379
1038,23280
1039,23282
1040,23284
1041,23306
1042,23312
1043,23310
1044,23308
1045,23314
1046,23296
1047,23292
1048,23298
1049,23300
1050,23294
1051,23302
1052,23328
1053,23326
1054,23332
1055,23324
1056,23330
1057,23320
1058,6967
1059,23316
1060,6965
1061,6964
1062,23318
1063,6966
1064,13172
1065,23334
1066,23336
1067,23338
1068,23340
1069,23342
1070,23344
1071,6812
1072,23836
1073,2234
1074,2236
1075,27118
1076,23262
1077,23254
1078,2685
1079,2338
1080,23258
1081,23260
1082,2240
1083,2337
1084,2241
1085,2339
1086,23256
1087,23834
1088,23264
1089,3877
1090,23832
1091,23838
1092,23250
1093,23252
1094,23248
1095,27116
1096,27126
1097,27122
1098,27120
1099,27124
1100,23278
1101,23270
1102,23272
1103,23276
1104,23274
1105,27128
1106,23268
1107,23266
1108,27130
1109,23072
1110,23058
1111,23056
1112,23066
1113,23080
1114,23078
1115,23068
1116,23060
1117,23074
1118,23076
1119,23082
1120,27132
1121,23062
1122,23064
1123,23070
1124,4421
1125,11347
1126,15078
1127,5451
1128,4422
1129,15074
1130,11251
1131,8240
1132,11346
1133,5479
1134,11660
1135,24024
1136,22998
1137,8275
1138,10222
1139,8277
1140,41912
1141,8276
1142,8278
1143,4387
1144,4388
1145,4399
1146,4386
1147,4400
1148,10231
1149,4402
1150,8239
1151,4403
1152,4404
1153,4405
1154,4407
1155,4398
1156,4395
1157,10237
1158,4441
1159,4409
1160,4406
1161,8295
1162,10238
1163,4401
1164,11253
1165,5452
1166,18674
1167,5453
1168,11255
1169,5552
1170,5472
1171,5554
1172,5460
1173,5456
1174,8405
1175,5553
1176,8407
1177,8402
1178,8399
1179,5555
1180,5473
1181,5557
1182,5463
1183,5461
1184,8333
1185,5556
1186,8334
1187,5477
1188,8282
1189,8283
1190,8286
1191,8285
1192,8284
1193,11256
1194,11252
1195,4393
1196,11304
1197,4419
1198,11339
1199,11257
1200,11340
1201,11337
1202,11341
1203,11342
1204,11336
1205,11338
1206,10223
1207,8292
1208,6548
1209,8293
1210,8294
1211,4420
1212,8279
1213,8281
1214,8280
1215,5483
1216,4426
1217,11343
1218,15076
1219,11344
1220,48036
1221,48034
1222,48032
1223,48030
1224,11345
1225,8273
1226,4425
1227,4423
1228,5478
1229,4427
1230,8274
1231,10570
1232,2640
1233,8339
1234,10416
1235,10418
1236,11603
1237,2551
1238,5250
1239,11601
1240,10571
1241,2656
1242,6580
1243,10559
1244,6581
1245,2654
1246,10556
1247,10558
1248,8498
1249,8497
1250,10557
1251,10555
1252,10554
1253,2652
1254,10564
1255,10561
1256,10563
1257,10560
1258,10562
1259,10566
1260,10567
1261,10569
1262,10565
1263,10568
1264,2644
1265,10448
1266,6570
1267,2606
1268,6572
1269,10424
1270,2600
1271,10419
1272,6571
1273,2609
1274,10423
1275,2601
1276,2602
1277,2603
1278,5192
1279,5189
1280,5190
1281,5191
1282,5188
1283,4606
1284,5649
1285,8493
1286,5276
1287,5277
1288,5279
1289,8491
1290,5285
1291,5616
1292,5281
1293,5280
1294,8492
1295,4610
1296,5278
1297,4609
1298,4608
1299,6488
1300,8473
1301,8475
1302,6122
1303,5260
1304,8481
1305,8480
1306,8478
1307,8477
1308,8476
1309,8479
1310,8520
1311,5257
1312,5256
1313,10548
1314,5255
1315,5258
1316,5259
1317,5943
1318,8483
1319,8482
1320,6124
1321,8490
1322,8488
1323,8487
1324,8486
1325,5274
1326,8484
1327,5261
1328,5262
1329,5275
1330,8485
1331,5284
1332,10601
1333,8496
1334,8495
1335,5253
1336,5254
1337,5602
1338,5252
1339,10549
1340,10550
1341,10552
1342,10553
1343,10551
1344,2555
1345,10414
1346,10417
1347,2552
1348,10415
1349,2553
1350,2554
1351,4505
1352,1938
1353,4500
1354,10445
1355,1948
1356,4504
1357,10537
1358,10538
1359,10539
1360,4506
1361,2848
1362,4493
1363,4604
1364,4601
1365,10523
1366,4594
1367,8469
1368,10536
1369,10509
1370,10512
1371,10511
1372,10510
1373,10524
1374,10525
1375,10540
1376,10541
1377,10543
1378,10520
1379,10518
1380,10517
1381,10519
1382,10522
1383,10521
1384,4453
1385,3792
1386,3793
1387,3788
1388,3789
1389,3790
1390,3170
1391,3787
1392,10514
1393,10513
1394,10516
1395,10515
1396,10546
1397,10544
1398,10547
1399,10545
1400,10532
1401,10531
1402,10528
1403,10530
1404,10535
1405,10534
1406,10527
1407,8471
1408,8472
1409,10526
1410,3212
1411,3211
1412,10533
1413,10529
1414,10507
1415,10508
1416,10506
1417,2576
1418,2584
1419,2585
1420,2567
1421,2556
1422,2593
1423,2578
1424,8470
1425,3801
1426,2579
1427,10483
1428,2583
1429,6578
1430,8465
1431,8464
1432,8467
1433,8468
1434,8466
1435,10484
1436,10485
1437,10486
1438,10487
1439,10489
1440,10488
1441,10490
1442,2588
1443,2586
1444,2590
1445,2592
1446,10476
1447,10478
1448,10482
1449,10477
1450,10480
1451,10481
1452,10479
1453,10471
1454,10472
1455,10474
1456,10468
1457,10470
1458,10469
1459,10475
1460,10473
1461,2568
1462,2574
1463,6576
1464,2575
1465,2582
1466,2570
1467,2569
1468,2577
1469,10455
1470,10460
1471,10453
1472,10454
1473,10459
1474,10458
1475,10457
1476,10466
1477,10467
1478,10450
1479,2572
1480,2573
1481,2571
1482,10452
1483,10451
1484,10462
1485,10464
1486,10461
1487,10463
1488,2557
1489,6567
1490,8462
1491,2561
1492,2580
1493,10449
1494,2564
1495,8461
1496,2558
1497,2560
1498,2565
1499,10420
1500,10421
1501,10422
1502,10440
1503,10437
1504,10438
1505,10439
1506,10441
1507,10442
1508,10429
1509,10428
1510,10430
1511,10432
1512,2563
1513,10434
1514,10433
1515,10435
1516,10436
1517,2562
1518,2595
1519,6579
1520,2594
1521,2596
1522,10504
1523,10505
1524,10498
1525,10499
1526,10497
1527,10496
1528,10495
1529,10503
1530,10502
1531,10501
1532,10500
1533,8161
1534,1594
1535,1592
1536,1582
1537,1591
1538,5874
1539,8142
1540,1595
1541,5873
1542,2307
1543,2306
1544,2322
1545,11348
1546,1584
1547,8226
1548,8227
1549,8229
1550,8228
1551,1633
1552,2162
1553,1625
1554,1752
1555,1634
1556,8176
1557,17186
1558,1626
1559,11841
1560,11833
1561,10228
1562,1628
1563,11835
1564,1627
1565,11837
1566,6536
1567,8302
1568,8303
1569,1989
1570,8300
1571,4408
1572,8305
1573,11566
1574,11568
1575,11564
1576,11570
1577,11757
1578,8218
1579,1610
1580,11755
1581,11733
1582,8308
1583,8309
1584,1615
1585,5900
1586,1617
1587,3449
1588,8212
1589,11753
1590,1619
1591,10220
1592,10225
1593,17460
1594,10218
1595,11751
1596,11749
1597,8217
1598,8216
1599,11731
1600,4413
1601,11737
1602,11735
1603,11741
1604,11743
1605,11739
1606,17160
1607,11745
1608,17162
1609,11747
1610,13878
1611,2348
1612,1598
1613,11729
1614,1602
1615,8221
1616,8220
1617,11727
1618,3423
1619,11699
1620,3424
1621,3425
1622,3420
1623,3421
1624,17170
1625,11232
1626,11689
1627,1601
1628,2347
1629,17174
1630,3422
1631,3426
1632,5872
1633,11725
1634,11705
1635,11707
1636,11701
1637,11703
1638,11717
1639,11721
1640,11719
1641,11723
1642,11675
1643,11677
1644,11671
1645,11673
1646,11669
1647,11665
1648,11667
1649,11693
1650,11697
1651,11691
1652,11695
1653,5905
1654,1583
1655,5325
1656,11605
1657,8206
1658,11641
1659,11639
1660,11635
1661,11631
1662,11629
1663,11627
1664,11633
1665,11637
1666,11617
1667,11623
1668,11619
1669,11621
1670,11625
1671,45738
1672,8210
1673,8207
1674,8208
1675,8209
1676,11713
1677,11711
1678,11715
1679,11709
1680,11643
1681,11645
1682,11651
1683,11655
1684,11647
1685,11653
1686,11649
1687,11661
1688,11663
1689,11659
1690,11657
1691,11679
1692,11683
1693,11685
1694,11687
1695,11681
1696,8306
1697,7061
1698,7065
1699,8222
1700,11831
1701,7064
1702,11815
1703,1623
1704,1620
1705,17176
1706,11823
1707,11817
1708,17178
1709,11819
1710,11821
1711,17182
1712,11825
1713,8223
1714,1613
1715,1616
1716,11827
1717,11829
1718,17180
1719,5893
1720,5881
1721,5892
1722,5888
1723,5884
1724,5894
1725,5879
1726,5895
1727,5887
1728,5885
1729,5891
1730,5878
1731,1630
1732,1631
1733,29724
1734,1637
1735,1636
